date,created,closed
2015-06-01,324,208
2015-07-01,365,240
2015-08-01,414,258
2015-09-01,449,272
2015-10-01,467,289
2015-11-01,501,310
2015-12-01,527,331
2016-01-01,538,340
2016-02-01,555,347
2016-03-01,584,370
2016-04-01,597,373
2016-05-01,630,381
2016-06-01,644,389
2016-07-01,651,390
2016-08-01,662,392
2016-09-01,676,402
2016-10-01,708,418
2016-11-01,724,440
2016-12-01,743,461
2017-01-01,754,481
2017-02-01,781,491
2017-03-01,811,507
2017-04-01,832,526
2017-05-01,855,535
2017-06-01,866,540
2017-07-01,879,544
2017-08-01,885,549
2017-09-01,895,561
2017-10-01,918,569
2017-11-01,930,581
2017-12-01,947,585
2018-01-01,963,591
2018-02-01,980,591
2018-03-01,1044,602
2018-04-01,1091,603
2018-05-01,1129,604
2018-06-01,1164,608
2018-07-01,1189,612
2018-08-01,1199,614
2018-09-01,1238,618
2018-10-01,1289,624
2018-11-01,1321,625
2018-12-01,1343,675
2019-01-01,1355,676
2019-02-01,1387,683
2019-03-01,1401,696
2019-04-01,1422,703
2019-05-01,1442,723
2019-06-01,1468,739
2019-07-01,1490,743
2019-08-01,1496,747
2019-09-01,1507,749
2019-10-01,1527,756
2019-11-01,1545,769
2019-12-01,1568,770
2020-01-01,1595,776
2020-02-01,1596,777
2020-03-01,1613,791
2020-04-01,1654,792
2020-05-01,1685,811
2020-06-01,1708,865
2020-07-01,1723,954
2020-08-01,1761,976
2020-09-01,1794,997
2020-10-01,1836,1023
2020-11-01,1849,1048
2020-12-01,1896,1075
2021-01-01,1919,1105
2021-02-01,1938,1136
2021-03-01,1964,1159
