date,created,closed
2015-07-01,32,34
2015-08-01,42,18
2015-09-01,30,15
2015-10-01,16,19
2015-11-01,33,21
2015-12-01,24,22
2016-01-01,10,9
2016-02-01,15,7
2016-03-01,23,23
2016-04-01,10,3
2016-05-01,17,8
2016-06-01,10,8
2016-07-01,5,1
2016-08-01,9,2
2016-09-01,12,10
2016-10-01,28,17
2016-11-01,12,24
2016-12-01,15,21
2017-01-01,10,20
2017-02-01,18,10
2017-03-01,22,16
2017-04-01,16,19
2017-05-01,19,9
2017-06-01,7,5
2017-07-01,11,4
2017-08-01,5,5
2017-09-01,8,12
2017-10-01,19,8
2017-11-01,10,12
2017-12-01,15,4
2018-01-01,12,6
2018-02-01,14,0
2018-03-01,37,11
2018-04-01,20,1
2018-05-01,24,1
2018-06-01,19,4
2018-07-01,13,4
2018-08-01,6,1
2018-09-01,20,4
2018-10-01,32,5
2018-11-01,21,1
2018-12-01,10,50
2019-01-01,3,1
2019-02-01,16,7
2019-03-01,7,10
2019-04-01,10,7
2019-05-01,11,19
2019-06-01,13,16
2019-07-01,11,4
2019-08-01,4,4
2019-09-01,6,2
2019-10-01,10,7
2019-11-01,8,13
2019-12-01,14,1
2020-01-01,16,6
2020-02-01,0,1
2020-03-01,5,14
2020-04-01,11,1
2020-05-01,13,19
2020-06-01,13,53
2020-07-01,6,88
2020-08-01,2,23
2020-09-01,18,21
2020-10-01,32,26
2020-11-01,13,25
2020-12-01,24,27
2021-01-01,13,29
2021-02-01,8,31
2021-03-01,23,29
2021-04-01,13,25
2021-05-01,6,14
2021-06-01,8,6
2021-07-01,6,5
2021-08-01,1,1
2021-09-01,5,14
2021-10-01,7,2
2021-11-01,2,1
2021-12-01,3,0
2022-01-01,30,37
2022-02-01,17,82
2022-03-01,6,15
2022-04-01,5,52
2022-05-01,6,5
2022-06-01,0,23
