date,created,closed
2015-07-01,41,32
2015-08-01,49,18
2015-09-01,35,14
2015-10-01,18,17
2015-11-01,34,21
2015-12-01,26,21
2016-01-01,11,9
2016-02-01,17,7
2016-03-01,29,23
2016-04-01,13,3
2016-05-01,33,8
2016-06-01,14,8
2016-07-01,7,1
2016-08-01,11,2
2016-09-01,14,10
2016-10-01,32,16
2016-11-01,16,22
2016-12-01,19,21
2017-01-01,11,20
2017-02-01,27,10
2017-03-01,30,16
2017-04-01,21,19
2017-05-01,23,9
2017-06-01,11,5
2017-07-01,13,4
2017-08-01,6,5
2017-09-01,10,12
2017-10-01,23,8
2017-11-01,12,12
2017-12-01,17,4
2018-01-01,16,6
2018-02-01,17,0
2018-03-01,64,11
2018-04-01,47,1
2018-05-01,38,1
2018-06-01,35,4
2018-07-01,25,4
2018-08-01,10,2
2018-09-01,39,4
2018-10-01,51,6
2018-11-01,32,1
2018-12-01,22,50
2019-01-01,12,1
2019-02-01,32,7
2019-03-01,14,13
2019-04-01,21,7
2019-05-01,20,20
2019-06-01,26,16
2019-07-01,22,4
2019-08-01,6,4
2019-09-01,11,2
2019-10-01,20,7
2019-11-01,18,13
2019-12-01,23,1
2020-01-01,27,6
2020-02-01,1,1
2020-03-01,17,14
2020-04-01,41,1
2020-05-01,31,19
2020-06-01,23,54
2020-07-01,15,89
2020-08-01,38,22
2020-09-01,33,21
2020-10-01,42,26
2020-11-01,13,25
2020-12-01,47,27
2021-01-01,23,30
2021-02-01,19,31
2021-03-01,26,23
